"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Cash/sh","Shares Outstanding","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Ratio","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close","After-Hours Change"
1,"ACRS","Aclaris Therapeutics Inc","Healthcare","Diagnostics & Research","USA",102.65,,1.80,70.89,65.48,8.12%,236.46%,76.65%,0.40%,6.02%,4.48,3.94,0.00%,-0.66%,-0.62%,-0.62%,-0.66%,0.03%,-1.34%,-1.30%,-2.01%,-1.34%,13.43%,22.08%,18.07%,24.18%,-86.77%,37.19%,0.08,4.25%,7.04%,19.27%,23.16%,-21.34%,-2.67%,10.45%,879.73,24.33,1070091,1.34,1.48,1.53,1.43,1.44,7.50%,,
2,"ASST","Asset Entities Inc","Communication Services","Internet Content & Information","USA",17.73,,0.21,1.16,1.03,88.66%,0.00%,0.34%,,0.24%,0.03,0.00,-0.98%,-0.47%,1.07%,0.55%,-0.98%,-3.35%,-2.46%,-4.89%,4.32%,17.51%,-6.22%,-13.11%,-5.99%,0.58%,-71.42%,-38.95%,0.33,19.99%,15.90%,12.15%,-1.66%,-15.93%,18.22%,5.10%,86.26,1232.28,5314522,1.57,1.65,2.42,1.63,1.95,24.25%,,
3,"CDT","Conduit Pharmaceuticals Inc","Healthcare","Biotechnology","USA",19.27,,0.02,73.83,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.04,0.07,-0.57%,-0.57%,0.00%,-0.57%,-0.46%,-0.42%,-1.44%,-0.42%,-4.74%,-5.09%,-11.53%,-85.50%,-91.55%,-92.65%,-97.51%,-94.26%,0.21,43.08%,31.84%,-70.04%,-87.35%,-90.98%,-4.81%,9.20%,2032.29,98.02,9960361,0.25,0.27,0.29,0.26,0.26,3.94%,,
4,"GDTC","CytoMed Therapeutics Ltd","Healthcare","Biotechnology","Singapore",28.27,,0.59,11.53,4.73,59.01%,0.00%,0.00%,,0.83%,9.36,0.04,0.82%,0.41%,0.00%,0.41%,0.82%,-0.41%,4.70%,0.41%,11.36%,11.36%,13.95%,17.79%,18.93%,-46.04%,-56.56%,-50.00%,0.31,6.54%,3.57%,20.94%,18.75%,-15.90%,11.36%,12.24%,4.19,12427.27,2604360,1.96,2.20,4.99,2.15,2.45,25.00%,,
5,"INTC","Intel Corp.","Technology","Semiconductors","USA",152230.31,37.25,5.01,4257.00,4254.58,0.06%,0.55%,67.03%,-1.78%,2.26%,2.03,96.01,-0.01%,0.06%,-0.11%,-0.25%,-0.80%,-0.50%,0.42%,1.74%,4.59%,4.50%,2.55%,17.44%,-1.38%,-24.01%,4.04%,-28.84%,1.05,3.50%,2.61%,11.38%,14.22%,-8.05%,4.56%,-0.41%,47320.86,2.34,5526071,34.34,34.20,36.08,34.05,35.76,4.14%,,
6,"LGVN","Longeveron Inc","Healthcare","Biotechnology","USA",26.86,,0.36,6.35,4.40,30.62%,18.09%,0.79%,10.40%,6.66%,0.03,0.29,0.00%,1.20%,0.71%,-0.94%,0.24%,0.49%,2.20%,-13.67%,18.49%,18.49%,-7.03%,32.60%,19.83%,-59.33%,-88.02%,-68.90%,0.71,27.05%,22.18%,69.40%,131.81%,-52.93%,18.49%,1.42%,9500.39,17.78,8447896,3.52,3.57,4.98,3.53,4.23,20.17%,,
7,"LPA","Logistic Properties of the Americas","Real Estate","Real Estate - Development","USA",951.62,623.91,0.00,4.19,2.77,91.27%,0.00%,0.68%,334.05%,0.66%,0.05,0.02,-0.08%,-2.82%,-2.34%,0.74%,7.37%,10.82%,12.61%,22.49%,28.08%,26.84%,247.74%,82.21%,297.48%,184.19%,195.08%,183.38%,13.75,61.60%,28.07%,118.37%,7.44%,107.32%,26.89%,-9.04%,336.80,30.54,514344,26.00,23.65,31.75,22.37,30.01,15.42%,,
8,"MLGO","MicroAlgo Inc","Technology","Software - Infrastructure","China",25.03,,2.52,5.16,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,0.26,2.30,0.60%,1.21%,1.22%,0.91%,0.91%,-1.21%,3.12%,1.85%,-0.01%,-2.10%,-20.54%,-18.17%,28.50%,-47.88%,-85.70%,-63.93%,2.45,30.92%,45.59%,-60.70%,-37.49%,-74.91%,-8.37%,26.41%,8908.97,19.20,8553586,2.84,3.59,3.60,3.13,3.29,15.83%,,
9,"SHIM","Shimmick Corp.","Industrials","Engineering & Construction","USA",90.26,,0.91,30.89,30.89,0.00%,,7.23%,,0.21%,0.35,0.06,0.08%,0.07%,-0.62%,-1.29%,-2.27%,-2.28%,-1.95%,1.14%,0.41%,-8.98%,74.96%,69.88%,-14.56%,-54.98%,,-55.73%,0.23,9.75%,7.24%,79.86%,47.54%,-37.13%,-7.83%,53.14%,184.54,433.52,4000171,2.07,3.17,3.23,2.84,2.92,41.15%,,
10,"T","AT&T, Inc.","Communication Services","Telecom Services","USA",135517.65,10.13,0.50,7170.17,7161.94,0.11%,0.00%,59.07%,-0.90%,1.57%,3.37,112.27,-0.00%,-0.16%,-0.16%,-0.21%,-0.03%,0.27%,-0.05%,-0.16%,0.37%,0.53%,0.85%,7.14%,17.47%,14.96%,39.69%,12.64%,0.28,1.55%,1.51%,1.37%,5.11%,12.22%,0.53%,-0.27%,33363.63,3.70,6175621,18.85,18.80,18.94,18.77,18.90,0.27%,,
11,"TKNO","Alpha Teknova Inc","Healthcare","Drug Manufacturers - Specialty & Generic","USA",58.35,,0.53,40.79,10.40,74.53%,67.20%,14.67%,-1.24%,1.37%,4.16,0.14,0.32%,-0.03%,-0.03%,-1.41%,-1.75%,0.67%,1.38%,-7.18%,-1.41%,-1.41%,17.17%,-15.91%,-45.02%,-49.84%,-59.73%,-61.68%,0.14,7.40%,9.24%,7.10%,-11.61%,-40.87%,-1.41%,7.41%,34.10,307.68,524610,1.35,1.45,1.73,1.27,1.43,5.89%,,
12,"VERB","Verb Technology Company Inc","Technology","Software - Application","USA",13.31,,0.14,104.37,103.70,0.64%,0.00%,0.43%,1.15%,2.53%,0.18,2.62,-0.62%,-0.47%,-0.62%,0.87%,-1.09%,0.55%,-11.89%,8.14%,8.97%,8.97%,7.59%,4.51%,-27.35%,-1.92%,-89.19%,-25.92%,0.01,4.38%,6.16%,6.27%,-5.94%,-41.37%,8.97%,0.52%,14584.16,55.65,40578140,0.12,0.12,0.16,0.12,0.13,9.54%,,
13,"VEV","Vicinity Motor Corp","Consumer Cyclical","Auto Manufacturers","Canada",27.35,,0.09,45.67,41.02,10.18%,0.00%,1.13%,,0.02%,0.00,0.01,0.00%,0.00%,0.00%,2.53%,2.89%,3.06%,0.02%,-0.18%,-3.42%,-0.20%,81.45%,-7.86%,-3.42%,-32.64%,-32.22%,-26.89%,0.11,20.63%,15.59%,10.36%,-8.23%,-22.46%,3.24%,0.87%,1984.94,11.92,1182636,0.57,0.58,0.72,0.58,0.60,4.14%,,
