File,Best Parameters,Best Score,Mean Squared Error,R^2 Score,Top 1 Feature,Top 1 Importance,Top 2 Feature,Top 2 Importance,Top 3 Feature,Top 3 Importance,Top 4 Feature,Top 4 Importance,Top 5 Feature,Top 5 Importance,Top 6 Feature,Top 6 Importance,Top 7 Feature,Top 7 Importance,Top 8 Feature,Top 8 Importance,Top 9 Feature,Top 9 Importance,Top 10 Feature,Top 10 Importance,Top 11 Feature,Top 11 Importance,Top 12 Feature,Top 12 Importance,Top 13 Feature,Top 13 Importance,Top 14 Feature,Top 14 Importance,Top 15 Feature,Top 15 Importance,Top 16 Feature,Top 16 Importance,Top 17 Feature,Top 17 Importance,Top 18 Feature,Top 18 Importance,Top 19 Feature,Top 19 Importance,Top 20 Feature,Top 20 Importance,Top 21 Feature,Top 21 Importance,Top 22 Feature,Top 22 Importance,Top 23 Feature,Top 23 Importance,Top 24 Feature,Top 24 Importance,Top 25 Feature,Top 25 Importance
csv/7_45.csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,3.140261450785981e-06,0.9999999918553377,Float Per Minute Volume Per Minute,0.23335961218944826,Market Cap Market Force Indicator,0.14939777924137157,P/E Float Per Minute,0.1191409124937634,Low Institutional Ownership,0.09558409715279802,Float Short Institutional Transactions,0.07201855247374893,Volume Volume Per Minute,0.06140752438182686,Institutional Ownership Volume_Float_Ratio,0.052561786296977046,Volume Per Minute Float Short,0.04346832829835087,Price Volume Per Minute,0.028297006692471982,P/E Institutional Ownership,0.023730284800443414,Volume Volatility (Month),0.019890854266897167,Short Interest Open,0.01697070027276544,Market Cap Short Interest,0.014248876525029694,Open Volatility (Week),0.01216185391308976,Volume Price,0.009746478610726835,P/E Float Short,0.007787190514518301,Volatility (Month)^2,0.006504344281916935,Price Short Interest,0.005500450060076146,Short Interest Relative Volume,0.004669119927316827,Float Per Minute Volatility (Month),0.003390497250945988,Float Per Minute Open,0.0031085418251544142,Volatility (Month) Institutional Ownership,0.0022002555419158845,Volatility (Month) Insider Ownership,0.002136756694517369,Volatility (Week)^2,0.0018218908816949714,Market Force Indicator Short Interest,0.0016503041661629708
csv/finviz (62).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,6.058647169726454e-05,0.999999982609602,Short Interest Average True Range,0.21193536948775402,Float Per Minute Average True Range,0.13370455660589198,Price Short Ratio,0.11379635301827039,Market Force Indicator Average True Range,0.08424579148649948,Short Interest^2,0.07397802782276863,Relative Volume Insider Transactions,0.06048921948666368,Float Per Minute Short Interest,0.0527491989780846,Volume Per Minute Float Short,0.046063450763289306,Volatility (Month) Insider Transactions,0.034980832040160774,Volume Per Minute Average True Range,0.03144370446622548,Short Ratio Average True Range,0.02508549784851464,Volume,0.02480657416617465,Float Per Minute Volume Per Minute,0.01897539937453238,Float Per Minute Insider Transactions,0.018910338760716763,Relative Volume Average True Range,0.014320919928989184,Market Cap Average True Range,0.010190172202134123,Float Per Minute Low,0.008796218170445113,Volatility (Month)^2,0.007772416862654203,Volume_Float_Ratio^2,0.00519839378226408,Price High,0.003187500582242409,Low Insider Transactions,0.0024280637358302585,Volume Volatility (Month),0.0021382466779102808,Low,0.0017187498280446082,High Institutional Transactions,0.0015168885433765765,Low Volume_Float_Ratio,0.001477832311426513
csv/finviz (25).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 1, 'gb__max_depth': 3, 'gb__learning_rate': 0.1}",-0.2694180578631441,1.4616865977437763e-07,0.9999999983206546,Price Open,0.1994459023416088,High Open,0.12098442750112616,Price High,0.09817282935370523,Price Low,0.09797592112007136,Low^2,0.0848217549804209,Volume Per Minute Market Force Indicator,0.03822533017696104,Market Cap Institutional Ownership,0.03725468328439941,Relative Volume Insider Transactions,0.03342967816885832,Volume Market Force Indicator,0.031557869314279584,High^2,0.03095407766881737,Institutional Ownership^2,0.025486291153938922,Volume Per Minute Relative Volume,0.021095410820611216,Volume Per Minute Low,0.017622262714100688,Volume Short Ratio,0.017195307299878112,P/E Market Force Indicator,0.012607482522321852,Price^2,0.012308648635877625,Float Per Minute Insider Ownership,0.010953718907936508,Low Open,0.010017717601346083,Float Per Minute,0.009866989314213105,Market Cap^2,0.009438675061735416,Volume High,0.008991969363715676,Market Force Indicator Float Short,0.007341551748056672,Market Force Indicator Average True Range,0.006194509752537582,Float Short Insider Ownership,0.005766489208082982,Open Insider Ownership,0.004826122284612898
csv/9_15.csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 1, 'gb__max_depth': 3, 'gb__learning_rate': 0.1}",-49.38785090725789,8.749196793815455e-07,0.9999999960058861,Volume Market Force Indicator,0.1938378021064425,Volume Short Interest,0.14308780742807747,Volume^2,0.11394347979673644,Volume Institutional Ownership,0.09231154186745831,Volume Per Minute Institutional Transactions,0.07470444442984664,Market Force Indicator^2,0.061795546600761316,Volume Per Minute,0.05561938181870976,Volume Volume Per Minute,0.05546220100262713,Volume Per Minute Short Interest,0.04788233954942758,Market Force Indicator,0.041178327019006505,Volume_Float_Ratio^2,0.026548727830227666,Volume Per Minute Volume_Float_Ratio,0.012029011570536404,Volume Institutional Transactions,0.011518310106007627,Volume Volume_Float_Ratio,0.01026290060352805,Market Force Indicator Volume_Float_Ratio,0.009761406540236852,Volume,0.009167494848016088,Volume Per Minute^2,0.00824855607090934,Volume Per Minute Market Force Indicator,0.004008042995325462,Volatility (Week) Institutional Ownership,0.0037301954245446455,Relative Volume Institutional Ownership,0.0028405587366802506,Price Low,0.0022807631776245838,Institutional Ownership,0.0020154691423901238,High Institutional Ownership,0.001978167596063975,Institutional Ownership^2,0.0014950532985837667,Relative Volume Volume_Float_Ratio,0.0013568247576295144
csv/finviz (64).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,6.578322932161344e-07,0.9999999997964903,Relative Volume Volume_Float_Ratio,0.3424834283220736,Market Force Indicator Relative Volume,0.21918939404998325,Volume^2,0.14030658285022196,High Volume_Float_Ratio,0.08979854452397915,Market Force Indicator,0.057459184513838794,Insider Transactions Volume_Float_Ratio,0.04208429787505293,Volume Per Minute Low,0.023535281976868366,Market Cap^2,0.019404123345444675,Volume_Float_Ratio,0.0152840283440757,Volume Insider Transactions,0.010752826948060236,Volume_Float_Ratio^2,0.00688186215001287,Float Per Minute^2,0.004845908423316542,Relative Volume Insider Transactions,0.004210908706886956,Volume Volume_Float_Ratio,0.003703337382595584,Volume Market Force Indicator,0.003146627512374884,Insider Transactions Institutional Transactions,0.0026305764586140317,Average True Range Volatility (Month),0.0018974998000460966,Short Interest Relative Volume,0.0018751763767500059,Market Force Indicator^2,0.0016292954647322269,Volume Per Minute,0.0015742160896680475,Float Short Volatility (Month),0.0013465770482829335,Volatility (Week)^2,0.0008538071196121997,Volume Per Minute Institutional Transactions,0.0004968062386715058,Volatility (Week) Institutional Transactions,0.0004936098596212674,Float Per Minute Volume_Float_Ratio,0.00044890922081164945
csv/finviz (8).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 1, 'gb__max_depth': 3, 'gb__learning_rate': 0.1}",-70.25208580878459,1.7771152220010813e-06,0.9999999983453254,Relative Volume,0.4814355994724841,Volume Per Minute^2,0.09007416535575401,Volume Per Minute,0.061157461696459796,Volatility (Week) Institutional Transactions,0.06030210855189092,Volume^2,0.05283938904399742,Volume,0.039090584362538636,Market Force Indicator Insider Transactions,0.02478245284276441,Price Relative Volume,0.01941951835160621,Volume Volume Per Minute,0.017472302428291026,Average True Range,0.01583748811160268,High Volume_Float_Ratio,0.012739887235252758,Volume Per Minute Volume_Float_Ratio,0.011808495355633554,High Open,0.010797143559055727,Insider Transactions^2,0.01031930513658891,Price^2,0.009116267169227124,Low Institutional Ownership,0.008488885207356155,Volatility (Month) Institutional Transactions,0.005885302792305145,Float Per Minute Volatility (Month),0.0057814778523526756,Market Cap Institutional Ownership,0.005323955203568331,Average True Range^2,0.005082609764647441,Float Per Minute Market Force Indicator,0.004765322516503664,Relative Volume Volatility (Month),0.004682996688388824,Market Cap Volume_Float_Ratio,0.0038599112383679622,Relative Volume Institutional Transactions,0.003833608467796444,Short Ratio Volatility (Week),0.0037677914309547987
csv/finviz (45).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,1.1098439584927747e-05,0.9999999828110817,Average True Range Insider Ownership,0.20520401040834077,Float Per Minute Institutional Transactions,0.1357999973925764,Price Insider Ownership,0.11312236333141833,Short Ratio Low,0.08769928701113938,Volume Open,0.07517057090863773,Market Force Indicator^2,0.060929274803996514,Float Short Insider Transactions,0.05189225622625587,Low Institutional Ownership,0.04202609017105334,Volatility (Week) Insider Transactions,0.03599874313137848,Volume Per Minute Average True Range,0.03085117113168989,Market Force Indicator Volatility (Week),0.025007894643424074,Low Insider Ownership,0.02134299529651899,High^2,0.017271405042279548,Average True Range^2,0.014782392265806492,Price Float Short,0.01294336336426495,Float Short Insider Ownership,0.010165205273053085,Market Cap Institutional Ownership,0.009450350407681263,Price Institutional Ownership,0.007088019919016868,Price Short Interest,0.006070751653166719,Float Short Institutional Transactions,0.005220190809092249,Insider Transactions Volume_Float_Ratio,0.004924936568242732,High,0.00414244713080865,High Insider Transactions,0.002904513888345845,Volume Volume Per Minute,0.002694693023122024,High Open,0.0024932409689046708
csv/finviz (17).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,2.611385505098816e-07,0.9999999991632068,Volume Per Minute Volatility (Month),0.3360734664589082,Average True Range^2,0.21680399683007864,Low Average True Range,0.13765599440814952,Volume Insider Ownership,0.08809964505405789,Volatility (Week) Institutional Transactions,0.056383771406762616,Volume Market Force Indicator,0.03608561368735909,Low,0.028180808766746612,Volume^2,0.016970081501987682,Open^2,0.012258808327341157,Volume Per Minute^2,0.01087379984880314,Market Force Indicator Low,0.010372465775238893,Volume,0.007845637266767656,Open Volume_Float_Ratio,0.006950932705104017,Float Per Minute Volatility (Week),0.006648231580164762,Volatility (Week),0.005021207850731296,Insider Transactions Institutional Transactions,0.004248561981537846,Volume Volatility (Month),0.003406859289648397,High Average True Range,0.002964567039264983,Float Per Minute High,0.0021190362689946754,Institutional Transactions^2,0.00156945185611348,Float Short Volatility (Month),0.0012624691173053666,Low^2,0.001248041179773036,Float Short High,0.0010705573819869574,Volume Institutional Transactions,0.0008208708881980767,Price Volume Per Minute,0.0006829897127901273
csv/finviz (18).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,7.008503272991102e-07,0.9999999980105696,Float Short Open,0.2924857122229835,Short Ratio Insider Ownership,0.19849617406835526,Low Average True Range,0.12703755338049916,Volume Insider Ownership,0.08206434910806713,Volatility (Week) Institutional Transactions,0.059193939750303626,Insider Ownership Volume_Float_Ratio,0.040870015252999964,Price Volume_Float_Ratio,0.03788386876929492,Volume_Float_Ratio^2,0.03075840955814641,Float Per Minute Short Ratio,0.02425657570536997,Market Cap Volatility (Month),0.017951571105979357,Volatility (Month) Insider Transactions,0.012950464241997972,Open^2,0.012036063312095493,Volatility (Week) Institutional Ownership,0.009673850767409693,Low Relative Volume,0.008909003133499316,High Volume_Float_Ratio,0.0069577736918684735,High,0.005502817921850599,Float Per Minute Volume Per Minute,0.004539684200701774,Market Force Indicator Insider Ownership,0.003797359981879215,Short Interest High,0.003143408816348742,Market Force Indicator High,0.0030210018308429697,Float Short High,0.002544701736567522,Short Ratio Average True Range,0.002004862689608006,Volume Per Minute Institutional Transactions,0.001997622087010719,Market Cap Market Force Indicator,0.0016627981669871878,Float Per Minute Volatility (Month),0.0014025881509274953
csv/finviz (39).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 200, 'gb__min_samples_split': 5, 'gb__min_samples_leaf': 2, 'gb__max_depth': 4, 'gb__learning_rate': 0.1}",-180.02684099817776,7.953487801650747e-05,0.999999995319776,Short Interest Insider Transactions,0.20534095092413446,Relative Volume Institutional Ownership,0.099332559234235,Short Interest,0.08816100482807465,Open^2,0.0610202841981809,Price Insider Ownership,0.060990531805304955,Short Interest Relative Volume,0.053639787833133334,P/E Average True Range,0.0506514514392766,Open Volume_Float_Ratio,0.04535490058250552,Volume_Float_Ratio,0.04497163909605244,Low^2,0.04355199446987759,Volume Volatility (Month),0.029022045548540244,Institutional Transactions Volume_Float_Ratio,0.026590571331546527,Volume Per Minute Average True Range,0.024145218012051838,Price Short Ratio,0.021732086997776623,Short Ratio Insider Transactions,0.019743512293155803,Insider Ownership Volume_Float_Ratio,0.019041912862113233,Low Open,0.01648242906519033,P/E Short Interest,0.014812551625384978,Volume Per Minute Market Force Indicator,0.011916130250234901,Price Institutional Ownership,0.0072355683847333116,Price Volatility (Month),0.006986401841942766,Short Interest Volume_Float_Ratio,0.0066623695905014295,Short Ratio Average True Range,0.006169464962791751,Average True Range Volatility (Week),0.004879249922200215,Short Ratio Institutional Transactions,0.0036683538359041333
csv/finviz (9).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 1, 'gb__max_depth': 3, 'gb__learning_rate': 0.1}",-10.803149122326236,1.0897512546409753e-05,0.9999999810894247,Volume Per Minute Relative Volume,0.15639768345866245,Volume Volume Per Minute,0.1554695849522055,Volume Per Minute^2,0.12060982295555314,Volume Relative Volume,0.0811002070962217,Market Force Indicator Insider Transactions,0.06284925710940269,Volume,0.06113189593430151,Volume Market Force Indicator,0.046318466645619706,Volume^2,0.030390220719961666,Volume Per Minute Volume_Float_Ratio,0.02810384758197179,Volume Per Minute,0.024405339441702322,Float Per Minute Volume_Float_Ratio,0.023260820984976574,Short Interest High,0.021728866927231996,High Volume_Float_Ratio,0.017593086145418733,Open Volume_Float_Ratio,0.014846065501864252,Price Volatility (Week),0.014250398357599305,Volume Volume_Float_Ratio,0.01279824345268181,Float Per Minute,0.011542819382302796,Relative Volume Insider Transactions,0.01046673860783656,Volume Per Minute Short Interest,0.010097639404326854,Relative Volume,0.009796428643576629,Volume Per Minute Market Force Indicator,0.009097318185464793,Float Short Short Interest,0.007726694042196117,Float Short Open,0.006134327475350381,Institutional Ownership Institutional Transactions,0.005960049566042626,Market Force Indicator Volatility (Month),0.005339338741184093
csv/finviz (3).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,7.463299998342001e-07,0.9999999993274272,Volume Institutional Transactions,0.39087778764004305,Volume_Float_Ratio^2,0.3380908754515555,Volume_Float_Ratio,0.07891567390860289,Market Force Indicator Low,0.0656919857474756,Volatility (Month) Institutional Transactions,0.01999096713904141,Market Force Indicator Float Short,0.01819033488902753,Volume^2,0.017825221019083418,Volatility (Week) Volatility (Month),0.011111723026279382,Short Ratio Short Interest,0.008582232112748896,Volume,0.00639218207600357,Open Institutional Ownership,0.0054926285517661235,Market Force Indicator Open,0.004097007860822173,Volatility (Month)^2,0.003996337291693897,Volume High,0.0033959480699563955,Market Force Indicator Insider Transactions,0.003241958606516312,Volume Institutional Ownership,0.0026883005634492996,Volatility (Week)^2,0.0025527607123613794,Volume Float Per Minute,0.0022676462023066843,Short Ratio^2,0.002215437277560942,High Volume_Float_Ratio,0.00216662459590447,Short Interest Volatility (Week),0.0019807789080610767,Float Short Short Ratio,0.0015630663629035374,Short Ratio Insider Transactions,0.0009892635831437388,Float Per Minute Volume_Float_Ratio,0.0009491379298068353,Volume Volatility (Month),0.0008698158391229942
csv/finviz (35).csv,"{'gb__subsample': 0.8, 'gb__n_estimators': 100, 'gb__min_samples_split': 5, 'gb__min_samples_leaf': 1, 'gb__max_depth': 4, 'gb__learning_rate': 0.2}",-9.744778308052952,1.7912280934566728e-09,0.9999999999992837,Relative Volume,0.35096610730837285,Volume Volume Per Minute,0.15055910994296143,P/E Volatility (Week),0.13095131997243067,Float Short Short Ratio,0.09687071231506544,Float Short Institutional Transactions,0.06472716045794151,Volume Per Minute Market Force Indicator,0.03460535539282108,Volume Insider Transactions,0.027263670611503324,Short Ratio Insider Transactions,0.015318617540058895,Volume Per Minute,0.012840262560232565,P/E Short Interest,0.011456935056609628,Float Short Insider Ownership,0.010205652178231618,Market Force Indicator Institutional Ownership,0.008891052186953706,Short Ratio Low,0.008746998301051868,Float Per Minute Institutional Ownership,0.00872824952497489,High,0.008193297013540388,Price Float Per Minute,0.007045870959506432,Short Interest Average True Range,0.006814345288633427,Institutional Ownership,0.006722933731114902,Float Per Minute Institutional Transactions,0.0051417423690174975,Float Per Minute Float Short,0.0047274810060618875,Short Interest Insider Ownership,0.0038937618243940655,Float Short Volatility (Week),0.0029635381128587344,Short Ratio,0.002910333558860465,Market Force Indicator Short Interest,0.002590674991725739,Price Float Short,0.0023037447303389286
csv/finviz (48).csv,"{'gb__subsample': 1.0, 'gb__n_estimators': 100, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 2, 'gb__max_depth': 5, 'gb__learning_rate': 0.2}",,1.025088144073622e-06,0.9999999983446554,Volume Volume_Float_Ratio,0.3483067585891512,Volume Relative Volume,0.2163506812296891,Volume Per Minute Relative Volume,0.18308788775128226,Relative Volume Volatility (Week),0.16215085663917497,Float Short Short Ratio,0.015776266874745332,High Volatility (Week),0.014844302005166746,Volume Per Minute Volume_Float_Ratio,0.012304630854881031,Low^2,0.008511047820078563,Price Institutional Transactions,0.0063677179316593505,Volume_Float_Ratio^2,0.004863840064216318,Low,0.004595721082486836,Short Interest Volatility (Month),0.003039924889003965,Insider Transactions Volume_Float_Ratio,0.002947309090149068,Float Per Minute Open,0.0028946381020227524,Open Volatility (Month),0.0024652885825851736,Volume High,0.0018904603107956378,Price Average True Range,0.0016879845548977775,Short Ratio Average True Range,0.0014184667411270987,Price Volatility (Month),0.0012081847515522195,Short Ratio^2,0.0011390980769604812,Volatility (Month) Insider Transactions,0.0006996028265327026,Market Force Indicator Open,0.0006620577065221188,Volume,0.0006242712644852717,Open Volume_Float_Ratio,0.0004354269766051093,Short Interest Relative Volume,0.00025455046779649445
csv/finviz (65).csv,"{'gb__subsample': 0.8, 'gb__n_estimators': 200, 'gb__min_samples_split': 5, 'gb__min_samples_leaf': 1, 'gb__max_depth': 4, 'gb__learning_rate': 0.01}",-0.0817057530403652,16.429265240453656,0.9588320879610525,Relative Volume,0.132868992286184,Volume_Float_Ratio,0.043147750143251486,Insider Ownership Insider Transactions,0.04117210586114971,Institutional Transactions Volume_Float_Ratio,0.03593493169933937,Volume Per Minute Institutional Transactions,0.032524653615522474,Market Force Indicator Relative Volume,0.029296871980276088,Volume,0.02889323886801441,Relative Volume Volatility (Month),0.026832910975503096,Relative Volume Institutional Transactions,0.024499098574253354,Volume Per Minute,0.024491972408593455,Insider Ownership Volume_Float_Ratio,0.022693957652960877,Volume Institutional Ownership,0.02151135828358528,P/E Float Per Minute,0.02144376482204968,Institutional Transactions,0.020058734856607665,Market Force Indicator,0.01931508939580415,Insider Ownership^2,0.019229788403335422,Market Force Indicator Insider Transactions,0.018306152128937804,Relative Volume Volume_Float_Ratio,0.017886071452788792,Volume High,0.01776699876222348,Relative Volume Volatility (Week),0.01759272362262358,Insider Ownership,0.016596254208964517,Volume Relative Volume,0.016525365575148488,Volume Volume Per Minute,0.01639750605693813,Open Insider Ownership,0.016350795692478787,Volume Market Force Indicator,0.016256113884790684
